392770304,392770559,"Googlebot"
392809472,392809727,"Googlebot"
1074016768,1074017023,"Microsoft bingbot"
1074017792,1074018047,"Microsoft bingbot"
1078220800,1078221055,"Googlebot"
1078221312,1078222079,"Googlebot"
1093939200,1093940735,"Microsoft bingbot"
1093951744,1093951999,"Microsoft bingbot"
1093953536,1093953791,"Microsoft bingbot"
1093954560,1093955583,"Microsoft bingbot"
1094099968,1094100479,"Microsoft bingbot"
1094117632,1094117887,"Microsoft bingbot"
1094121216,1094121471,"Microsoft bingbot"
1094123776,1094124799,"Microsoft bingbot"
1094129408,1094130175,"Microsoft bingbot"
1094132992,1094133247,"Microsoft bingbot"
1094136576,1094136831,"Microsoft bingbot"
1094137344,1094137855,"Microsoft bingbot"
1094150400,1094151167,"Microsoft bingbot"
1094151424,1094151935,"Microsoft bingbot"
1094154240,1094154495,"Microsoft bingbot"
1094160896,1094161151,"Microsoft bingbot"
1094171904,1094172159,"Microsoft bingbot"
1094176512,1094180095,"Microsoft bingbot"
1094182400,1094182911,"Microsoft bingbot"
1094183680,1094183935,"Microsoft bingbot"
1094187520,1094187775,"Microsoft bingbot"
1123631104,1123635199,"Googlebot"
1729731584,1729731839,"Microsoft bingbot"
1744801024,1744801279,"Microsoft bingbot"
1876759040,1876759551,"Microsoft bingbot"
1876761600,1876761855,"Microsoft bingbot"
1876762368,1876762623,"Microsoft bingbot"
2214399232,2214399487,"Microsoft bingbot"
2214402048,2214403071,"Microsoft bingbot"
2214405120,2214405375,"Microsoft bingbot"
2214405632,2214405887,"Microsoft bingbot"
2214407680,2214408191,"Microsoft bingbot"
2637629952,2637630463,"Microsoft bingbot"
2637630720,2637630975,"Microsoft bingbot"
2637631488,2637633535,"Microsoft bingbot"
2637635584,2637637631,"Microsoft bingbot"
2637639680,2637639935,"Microsoft bingbot"
2637640192,2637640447,"Microsoft bingbot"
2637652480,2637652991,"Microsoft bingbot"
2637653760,2637654015,"Microsoft bingbot"
2637654528,2637656319,"Microsoft bingbot"
2637657600,2637657855,"Microsoft bingbot"
2637666816,2637667071,"Microsoft bingbot"
2637692928,2637694463,"Microsoft bingbot"
2637697024,2637697791,"Microsoft bingbot"
2637713408,2637713663,"Microsoft bingbot"
2637716480,2637717503,"Microsoft bingbot"
2637751552,2637751807,"Microsoft bingbot"
3219660800,3219661567,"Microsoft bingbot"
3219661824,3219663615,"Microsoft bingbot"
3219663872,3219664639,"Microsoft bingbot"
3219664896,3219668735,"Microsoft bingbot"
3219668992,3219669759,"Microsoft bingbot"
3219670016,3219673087,"Microsoft bingbot"
3219685376,3219688447,"Microsoft bingbot"
3219689472,3219697407,"Microsoft bingbot"
3219697664,3219703551,"Microsoft bingbot"
3340636160,3340640255,"Microsoft bingbot"
3394890496,3394890751,"Microsoft bingbot"
3394891008,3394891263,"Microsoft bingbot"
3419421696,3419421951,"Googlebot"
3475901440,3475901951,"Microsoft bingbot"
3475930624,3475930879,"Microsoft bingbot"
3475947520,3475948543,"Microsoft bingbot"
3475949312,3475949567,"Microsoft bingbot"
3475950592,3475950847,"Microsoft bingbot"
3586631680,3586632191,"Microsoft bingbot"
